Jurisdiction,Requested 10-4-20,Requested 10-11-20,Requested 10-18-20,Sent 10-4-20,Sent 10-11-20,Sent 10-18-20,Received 10-4-20,Received 10-11-20,Received 10-18-20
Adams,1017,1323,1673,1005,1308,1661,427,759,1148
Alcorn,537,718,1015,532,711,995,304,480,743
Amite,273,411,560,272,409,560,159,283,414
Attala,412,560,709,203,547,709,144,252,434
Benton,332,426,544,168,283,523,157,272,412
Bolivar,489,672,933,489,671,929,179,300,553
Calhoun,228,358,513,228,358,513,136,250,399
Carroll,192,304,439,190,302,425,74,177,326
Chickasaw,320,468,633,238,394,594,128,296,471
Choctaw,95,148,223,62,119,203,25,79,145
Claiborne,496,650,784,435,591,728,271,451,613
Clarke,244,392,583,219,358,550,56,193,406
Clay,432,638,877,350,545,797,250,447,692
Coahoma,417,618,790,406,602,775,0,0,0
Copiah,528,773,1001,527,773,1001,292,512,747
Covington,393,515,708,392,515,708,148,231,482
DeSoto,3623,4933,6610,2805,4150,5884,1793,3373,5178
Forrest,1421,1873,2430,1151,1794,2349,576,1056,1712
Franklin,171,268,359,170,268,359,71,180,267
George,367,501,689,367,501,689,193,341,540
Greene,320,467,673,320,460,662,186,307,510
Grenada,814,1171,1516,810,1167,1514,555,875,1247
Hancock,1168,1475,1994,1152,1475,1991,762,1108,1652
Harrison,5717,7639,10014,5712,7567,9958,3545,5122,7484
Hinds,6738,8757,11161,5133,6825,9224,3245,5245,8195
Holmes,396,574,741,396,571,740,117,310,497
Humphreys,246,333,442,119,263,384,110,168,272
Issaqunea,5,21,28,5,21,28,4,19,25
Itawamba,238,347,447,238,347,447,114,212,325
Jackson,2635,4193,5456,2616,4169,5432,1429,2478,3934
Jasper,509,699,870,495,686,852,231,417,581
Jefferson,313,422,520,306,419,513,137,239,350
Jefferson Davis,339,491,672,338,489,668,194,361,549
Jones,1081,1437,1801,1058,1418,1782,314,778,1236
Kemper,247,341,419,155,234,333,78,137,234
Lafayette,2002,2670,3483,2002,2670,3482,1382,2085,2941
Lamar,1273,1596,2078,1262,1596,2078,524,797,1292
Lauderdale,1383,1826,2414,1368,1800,2385,1020,1573,2223
Lawrence,245,324,398,236,314,388,58,149,238
Leake,376,529,725,375,527,723,198,355,554
Lee,1541,2102,2768,1530,2087,2756,776,1366,2119
Leflore,510,876,1382,500,858,1352,253,412,690
Lincoln,629,939,1196,338,772,1113,254,519,864
Lowndes,1317,1829,2326,1301,1824,2325,548,1104,1602
Madiso n,3299,4232,5454,3019,4017,5277,1788,513,4276
Mario n,589,750,988,479,658,897,334,532,784
Marshall,597,835,1108,596,833,1108,229,2934,834
Monroe,701,1000,1301,695,996,1299,330,593,930
Montgomery,306,434,628,306,433,627,173,310,508
Neshoba,305,497,681,305,493,681,163,313,494
Newton,451,591,725,451,591,725,214,385,553
Noxubee,470,631,795,466,620,794,103,221,433
Oktibbeha,800,1174,1556,785,1146,1513,322,716,1090
Panola,587,914,1276,392,729,1123,219,470,918
Pearl River,1315,1776,2299,1302,1776,2299,720,1231,1749
Perry,235,371,446,220,365,441,99,178,298
Pike,1030,1438,1923,1010,1430,1914,717,1136,1658
Pontotoc,494,686,899,491,683,897,271,456,677
Prentiss,299,403,535,299,403,535,105,216,365
Quitman,174,272,370,174,272,370,79,164,267
Rankin,4052,5616,7398,4042,5607,7391,2751,4310,6156
Scott,292,413,545,289,407,529,165,277,416
Sharkey,113,168,213,81,122,172,54,96,138
Simpson,433,616,797,379,559,762,169,349,578
Smith,275,386,503,262,374,500,61,175,289
Stone,372,485,632,372,484,632,150,278,451
Sunflower,490,662,856,481,651,842,201,394,607
Tallahatchie,224,350,449,208,596,411,94,152,263
Tate,464,598,788,462,309,785,217,401,597
Tippah,334,457,602,333,456,601,157,301,467
Tishomingo,349,477,612,264,389,530,136,275,426
Tunica,84,110,157,58,84,129,29,55,101
Union,396,609,843,396,609,843,224,449,676
Walthall,250,383,538,241,374,535,128,239,381
Warren,1175,1560,1988,1093,1486,1927,639,1107,1600
Washington,1772,2442,3421,1763,2433,3409,1100,1723,2610
Wayne,405,531,679,405,531,678,226,391,557
Webster,133,234,279,126,232,278,39,128,186
Wilkinson,125,168,234,75,109,176,34,65,114
Winston,476,728,998,475,727,997,337,590,859
Yalobusha,238,375,491,238,374,491,146,255,403
Yazoo,362,495,649,360,493,648,221,350,494
Mississippi,66495,91474,120253,61367,86609,115848,34561,58796,89499