county_name,precinct_name,name,address,status
Adams,Bellemont Precinct,ELKS LODGE,"241 LOWER WOODVILLE RD., NATCHEZ, MS 39120",Relocated
Adams,By-Pass Fire Precinct,BY-PASS FIRE STATION,"467 JOHN R JUNKIN DR., NATCHEZ, MS 39120",Relocated
Adams,Beau Pre Precinct,CHURCH OF CHRIST,"2 BEAU PRE RD., NATCHEZ, MS 39120",Relocated
Adams,Kingston Precinct,KINGSTON FIRE STATION,"575 KINGSTON RD., NATCHEZ, MS 39120",Relocated
Adams,Liberty Park Precinct,MS NAT GUARD ARMORY,"329 LIBERTY RD., NATCHEZ, MS 39120",Relocated
Adams,Thompson Precinct,THOMPSON SCHOOL,"1038 N. UNION ST., NATCHEZ, MS 39120",Closed
Alcorn,East Third Street,SKATELAND,"2031 E 3RD ST, CORINTH, MS 38834",Closed
Alcorn,North Corinth,SPORTSPLEX,"SPORTSPLEX 1911 WEBSTER ST, CORINTH, MS 38834",Relocated
Amite,Gloster,GLOSTER TRANSFER/COMPACTOR,"1763A GEORGIA PACIFIC RD #2, GLOSTER, MS 39638",Relocated
Amite,South Liberty,S. LIBERTY/COURTHOUSE,"243 W MAIN ST, LIBERTY, MS 39645",Closed
Amite,Street,STREET VOLUNTEER FIRE DEPT.,"2181B MS HWY 569 S, LIBERTY, MS 39645",Closed
Attala,Aponaug,METHODIST PROTESTANT CHURCH,"162 APONAUG ROAD, KOSCIUSKO, MS 3909",Closed
Attala,East,KOSCIUSKO HIGH SCHOOL,"VETERANS MEMORIAL DRIVE, KOSCIUSKO, MS 39090",Relocated
Attala,Possumneck,COMMUNITY HOUSE,"ATTALA ROAD 3231, KOSCIUSKO, MS 39090",Relocated
Attala,Williamsville,COMMUNITY HOUSE,"WILLIAMSVILLE ROAD, KOSCIUSKO, MS 39090",Relocated
Bolivar,Choctaw,CHOCTAW,"STAND ALONE BUILDING- OLD HIGHWAY #61 AND STATE HIGHWAY #450, SHAW, MS 38773",Relocated
Bolivar,Eastgate,EASTGATE,"CAMILLA APARTMENTS ADMINISTRATIVE BUILDING- 1300 CROSS ST EAST, CLEVELAND, MS 38732",Relocated
Bolivar,North West Cleveland,NORTH WEST CLEVELAND,"WALTER SILLERS COLISEUM- WEST SUNFLOWER ROAD, CLEVELAND, MS 38732",Relocated
Bolivar,Shaw,SHAW,"SHAW EDUCATIONAL AND CULTRAL CENTER- 125 PEELER AVE, SHAW, MS 38773",Relocated
Calhoun,Vardaman,VARDAMAN FIRE DEPT.,"109 N. RUSSELL ST. (FIRE DEPT.), VARDAMAN, MS 38878",Relocated
Carroll,Carrollton,CARROLLTON COURTHOUSE BOARD ROOM,"600 LEXINGTON ST, CARROLLTON, MS 38917",Relocated
Choctaw,Southwest Ackerman,ACKERMAN ELEMENTARY SCHOOL,"8475 MS HIGHWAY 15, ACKERMAN, MS 39735",Relocated
Claiborne,County Precinct 1-A,MAGNOLIA CHURCH,,Closed
Claiborne,County Precinct 3-A,OLD NATIONAL GUARD ARMORY,,Closed
Clarke,Energy,ENERGY VOTING HOUSE,"8841 CO. RD. 514, MERIDIAN, MS 39301",Relocated
Clarke,Harmony Dist. 1,MEETING PLACE,"1849 HWY 18 W, QUITMAN, MS 39355",Relocated
Clarke,Manassa,MANASSA COMM CTR,"3867 CO. RD. 511, QUITMAN, MS 39355",Relocated
Clarke,Pachuta,PACHUTA TOWN HALL,"15537 HWY 11, PACHUTA, MS 39347",Relocated
Clarke,Pineridge,PINERIDGE COMM CTR,"17130 HWY 18 E., QUITMAN, MS 39355",Closed
Clarke,Stonewall Dist. 1,STNW 1 VOTING HOUSE,"6803 HWY 513, STONEWALL, MS 39363",Relocated
Clay,Cairo,CAIRO VOTER BUILDING,"10851 HIGHWAY 46, CEDAR BLUFF, MS 39741",Relocated
Clay,Caradine,CARADINE VOTER BUILDING,"14252 UNA-BRAND ROAD, PRAIRIE, MS 39756",Relocated
Clay,Cedar Bluff,CEDAR BLUFF - COMMUNITY CENTER,"197 HENRYVILLE ROAD, CEDAR BLUFF, MS 39741",Relocated
Clay,Central-West Point,COUNTY COMPLEX,"330 W. BROAD STREET, WEST POINT, MS 39773",Relocated
Clay,East-West Point,AMERICAN LEGION HUT,"515 WESTBROOK, WEST POINT, MS 39773",Relocated
Clay,North-West Point,RECREATION CENTER,"1032 WOOD STREET, WEST POINT, MS 39773",Relocated
Clay,Pheba,PHEBA - VOTER BUILDING,"21523 HIGHWAY 50 W, PHEBA, MS 39755",Relocated
Clay,Pine Bluff,PINE BLUFF VOTER BUILDING,"10498 COLONY ROAD, MANTEE, MS 39751",Relocated
Clay,Siloam,SILOAM - COMMUNITY CENTER,"2504 HIGHWAY 47, WEST POINT, MS 39773",Relocated
Clay,South-West Point,SOUTH-WEST POINT,"505 W. CHURCH HILL, WEST POINT, MS 39773",Relocated
Clay,Tibbee,TIBBEE - FIRE STATION,"2895 E. TIBBEE RD., WEST POINT, MS 39773",Relocated
Clay,Union Star,UNION STAR - FIRE STATION,"6423 WAVERLY ROAD, WEST POINT, MS 39773",Relocated
Clay,Vinton,VINTON - COUNTY SHED,"440 BARTON FERRY RD, WEST POINT, MS 39773",Relocated
Clay,West-West Point,HENRY HARRIS BUILDING,"227 COURT STREET, WEST POINT, MS 39773",Relocated
Coahoma,Friars Point,FRIARS POINT CITY HALL,,Relocated
Copiah,Crystal Springs West,CRYSTAL SPRINGS WEST,"26164 HWY 27, CRYSTAL SPRINGS, MS 39059",Relocated
Copiah,Wesson,WESSON,"1018 SPRING ST, WESSON, MS 39191",Relocated
Covington,Gilmer,HOT COFFEE TO MIZE ROAD,"480 LILLY VALLEY CH RD, MOUNT OLIVE, MS 39119",Closed
Covington,Mt Olive,MULTI-PURPOSE BUILDING,"301 S FOURTH ST, MOUNT OLIVE, MS 39119",Relocated
Covington,Seminary,DEPOT,"101 WILLOW ST, SEMINARY, MS 39479",Closed
Covington,South Collins,VO-TECH CENTER,"1200 S DOGWOOD ST, COLLINS, MS 39428",Relocated
Covington,West Collins,VFW,"204 S CHERRY AVE, COLLINS, MS 39428",Closed
Covington,Yawn,SALEM SCHOOL RD/SMITH COMMUNITY,"1496 SALEM CH RD, COLLINS, MS 39428",Closed
DeSoto,Civic Center,CIVIC CENTER,"4560 VENTURE DR., SOUTHAVEN, MS 38671",Closed
DeSoto,Elmore,SOUTHAVEN FIRE STATION #3,"6050 ELMORE RD, SOUTHAVEN, MS 38671",Relocated
DeSoto,Greenbrook South,SOUTHAVEN INTERMEDIATE SCHOOL,"175 RASCO ROAD, SOUTHAVEN, MS 38671",Relocated
DeSoto,Ingrams Mill,ACI FIRE STATION #2,"4735 RED BANKS RD S, BYHALIA, MS 38611",Relocated
DeSoto,Lewisburg,LEWISBURG HIGH SCHOOL,"1703 CRAFT RD, OLIVE BRANCH, MS 38654",Relocated
DeSoto,Love,LOVE COMMUNITY BAPTIST CHURCH,"7496 HIGHWAY 51 S, HERNANDO, MS 38632",Relocated
DeSoto,Mineral Wells,O B FIRE STATION # 2,"7745 CRAFT RD, OLIVE BRANCH, MS 38654",Relocated
DeSoto,Nesbit West,HERNANDO FIRE STATION #2,"957 HIGHWAY 51 N, NESBIT, MS 38651",Relocated
DeSoto,Pleasant Hill North,PLEASANT HILL BAPTIST CHURCH,"4046 PLEASANT HILL RD, OLIVE BRANCH, MS 38654",Relocated
DeSoto,Southaven North,SOUTHAVEN CITY HALL,"8710 NORTHWEST DR., SOUTHAVEN, MS 38671",Relocated
Forrest,Burger Center,BURGER CENTER,"N. R. BURGER CENTER 305 E 6TH ST, HATTIESBURG, MS 39401",Closed
Forrest,Kamper Park,KAMPER PARK,"KAMPER PARK EDUCATION CENTER 107 S 17TH AVE, HATTIESBURG, MS 39401",Closed
Forrest,Salvation Army,SALVATION ARMY,"SALVATION ARMY ADMIN. BUILDING 5670 U S HWY 49 SOUTH, HATTIESURG, MS 39401",Closed
George,Benndale,BENNDALE FIRE DEPARTMENT,"4271 HWY 26 W., LUCEDALE, MS 39452",Relocated
George,Pine Level,HERITAGE BAPTIST CHURCH,"10183 HWY 613, LUCEDALE, MS 39452",Relocated
George,Shady Grove,SHADY GROVE COUNTY BARN,"14204 HWY 26 W, LUCEDALE, MS 39452",Relocated
Greene,Jonathan,JONATHAN-VOTING HOUSE,"3088 JONATHAN RD, LEAKESVILLE, MS 39451",Relocated
Greene,Maples,MAPLES-VOTING HOUSE,"12955 BRUSHY CREEK RD, LUCEDALE, MS 39452",Relocated
Greene,Mutual Rights,MUTUAL RIGHTS-VOTING HOUSE,"34777 HWY 63 N, LEAKESVILLE, MS 39451",Relocated
Greene,Piave,PIAVE-VOTING HOUSE,"51 GORDON RD, RICHTON, MS 39476",Relocated
Greene,Vernal,VERNAL-OLD VERNAL SCHOOL,"3685 VERNAL RIVER RD, LUCEDALE, MS 39452",Relocated
Grenada,Box 1,BOX 1 NATIONAL GUARD ARMORY,"1801 JACKSON AVENUE, GRENADA, MS 38901",Relocated
Grenada,Box 5,BOX 5 GRACE UMC,"2315 CARROLLTON ROAD, GRENADA, MS 38901",Relocated
Grenada,MILLCREEK,MILLCREEK OFFICE COMPLEX,"1331 SOUTH STREET SUITE A, GRENADA, MS 38901",Closed
Grenada,Tie Plant,TIE PLANT SOUTHSIDE CHURCH OF CHRIST,"3499 COMMERCE STREET, GRENADA, MS 38901",Closed
Hancock,Ansley,ANSLEY,"COMMUNITY CENTER -	9140 LOWER BAY RD, BAY ST LOUIS, MS 39520",Closed
Hancock,Bayou Phillip,BAYOU PHILLIP,"COMMUNITY CENTER -	6004 HIGHWAY 90, BAY ST LOUIS, MS 39520",Relocated
Hancock,City Hall,CITY HALL,"CITY HALL -	302 S 2ND STREET, BAY ST LOUIS, MS 39520",Relocated
Hancock,Clermont Harbor,CLERMONT HARBOR,"UNITED METHODIST CHURCH -	5129 IOOR AVE, BAY ST LOUIS, MS 39520",Closed
Hancock,Diamondhead West,DIAMONDHEAD WEST,"DIAMONDHEAD COMMUNITY CHURCH -	5301 DIAMONDHEAD CIRCLE, DIAMONDHEAD, MS 39525",Relocated
Hancock,Garden Isle,GARDEN ISLE,"GOVERNMENT TRAILER COMPLEX -	3068 LONGFELLOW DR. TRAILER 13 B, BAY ST LOUIS, MS 39520",Relocated
Hancock,Lakeshore,LAKESHORE,"SOUTH HANCOCK ELEMENTARY 6590 LAKESHORE ROAD, BAY ST LOUIS, MS 39520",Relocated
Hancock,North Bay West,NORTH BAY WEST,"BAY SENIOR HIGH -	750 BLUE MEADOW RD, BAY ST LOUIS, MS 39520",Relocated
Hancock,Waveland West,WAVELAND WEST,"WAVELAND ELEMENTARY SCHOOL -	1101 ST JOSEPH STREET, WAVELAND, MS 39576",Relocated
Harrison,Biloxi # 5,SAENGER THEATRE FRONT LOBBY,"416 REYNOIR ST, BILOXI, MS 39531",Closed
Harrison,Biloxi Bay,FELLOWSHIP LODGE # 630,"166 VETERANS AVE, BILOXI, MS 39531",Relocated
Harrison,Gulfport # 11,BAYOU VIEW MIDDLE SCHOOL,"212 43RD ST, GULFPORT, MS 39507",Closed
Harrison,Gulfport # 15,GULF COAST COMMUNITY ACTION AGENCY,"500 24TH STREET, GULFPORT, MS 39501",Closed
Harrison,Gulfport # 7,HERBERT WILSON RECREATION BLDG.,"3625 HANCOCK AVE, GULFPORT, MS 39507",Closed
Harrison,Howard Creek,WOOLMARKET LIONS CLUB,"12596 LORRAINE RD, BILOXI, MS 39531",Relocated
Harrison,Long Beach # 4,REEVES ELEMENTARY SCHOOL,"214 ST AUGUSTINE DR, LONG BEACH, MS 39560",Closed
Harrison,New Popps Ferry,GULF COAST BUSINESS TECHNOLOGY CTR,"1636 POPPS FERRY RD, BILOXI, MS 39532",Relocated
Harrison,North Bel-Aire,KLEIN RD CHURCH OF GOD,"11392 KLEIN RD, GULFPORT, MS 39503",Relocated
Harrison,Saucier,SAUCIER SENIOR CITIZENS CENTER,"24014 CHURCH ST, SAUCIER, MS 39574",Relocated
Harrison,Stonewall,ORANGE GROVE WORK CENTER,"10076 LORRAINE RD, GULFPORT, MS 39503",Relocated
Harrison,W Pass Christian,VFW BUILDING,"400 CLARENCE AVENUE, PASS CHRISTIAN, MS 39571",Relocated
Harrison,West Lyman,LYMAN ELEMENTARY SCHOOL,"14222 OLD HIGHWAY 49, GULFPORT, MS 39503",Closed
Harrison,West Miss City,GULFPORT HIGH SCHOOL / GYM,"PERRY STREET, GULFPORT, MS 39507",Relocated
Harrison,West Orange Grove,ORANGE GROVE ELEMENTARY SCHOOL,"11391 OLD HIGHWAY 49, GULFPORT, MS 39503",Relocated
Hinds,Byram 3,RELATECHURCH.COM,"6885 S SIWELL RD, BYRAM, MS 39272",Relocated
Hinds,Edwards,EDWARDS LIVESTOCK BARN,"DISTRICT 3 BARN, EDWARDS, MS 39066",Relocated
Hinds,Old Byram,BYRAM BAPTIST CHURCH,"5856 TERRY RD, BYRAM, MS 39272",Relocated
Hinds,Pocahontas,POCAHONTAS VOL FIRE STATION,"1140 FOA RD, JACKSON, MS 39209",Relocated
Hinds,Precinct 12,INSTITUTIONAL AME CHURCH,"3032 BISHOP ST, JACKSON, MS 39213",Closed
Hinds,Precinct 17,ST JAMES EPISCOPAL CHURCH,"3921 OAK RIDGE DR, JACKSON, MS 39216",Closed
Hinds,Precinct 19,FACTORY LIQUIDATION FURNITURE,"605 W FORTIFICATION ST, JACKSON, MS 39203",Relocated
Hinds,Precinct 24,FRENCH ELEMENTARY SCHOOL,"311 JOEL AVE, JACKSON, MS 39209",Closed
Hinds,Precinct 26,FIRE STATION #15,"4943 CLINTON BLVD, JACKSON, MS 39209",Relocated
Hinds,Precinct 50,ENOCHS OFFICE COMPLEX,"101 NEAR STREET, JACKSON, MS 39203",Closed
Hinds,Precinct 52,CALVARY BAPTIST CHURCH,"160 N GREEN ST ACTIVITY BLDG, JACKSON, MS 39203",Closed
Hinds,Precinct 62,VAN WINKLE UNITED METH CHURCH,"3810 ROBINSON ST, JACKSON, MS 39209",Relocated
Hinds,Precinct 67,BELK-METRO CENTER,"HWY 80 AT ROBINSON RD, JACKSON, MS 39204",Closed
Hinds,Precinct 79,FIRE STATION #19,"5910 RIDGEWOOD RD, JACKSON, MS 39211",Relocated
Hinds,Precinct 81,CALLAWAY HIGH SCHOOL,"601 BEASLEY RD, JACKSON, MS 39206",Relocated
Hinds,Precinct 82,NORTH JACKSON ELEM SCHOOL,"650 JAMES DAVIS DR, JACKSON, MS 39206",Relocated
Hinds,Precinct 87,BLESSED TRINITY UNITED METH CHURCH,"5045 CLINTON BLVD, JACKSON, MS 39209",Closed
Hinds,Precinct 89,SEARS-METRO CENTER,"HWY 80 AT ROBINSON RD, JACKSON, MS 39204",Closed
Hinds,Precinct 90,WOODVILLE HEIGHTS ELEM SCHOOL,"2930 MCDOWELL RD EXT, JACKSON, MS 39204",Relocated
Hinds,Precinct 94,FOREST HILL UNITED METH CHURCH,"2504 RAYMOND RD, JACKSON, MS 39212",Relocated
Hinds,Precinct 95,SIWELL ROAD CHURCH OF CHRIST,"4075 SIWELL RD, JACKSON, MS 39212",Closed
Hinds,Precinct 96,MIRACLE TEMPLE,"418 LAKESHORE RD, JACKSON, MS 39212",Relocated
Hinds,Precinct 97,WAHABI SHRINERS TEMPLE,"1343 I 55 SOUTH, JACKSON, MS 39212",Closed
Hinds,Precinct 98,TOUGALOO COLLEGE,,Closed
Hinds,Terry 2,TERRY VOLUNTEER FIRE STATION,"2001 TANK RD, TERRY, MS 39170",Relocated
Holmes,Beat 2 Sub Durant,NAT'L GUARD ARMORY,,Relocated
Holmes,Beat 4 Lexington,JUSTICE COURT COURTROOM,,Relocated
Holmes,Beat 5 Lexington (A-Z),LEXINGTON ELEMENTARY GYM,,Relocated
Jackson,American Legion,AMERICAN LEGION ON MARKET ST,"1019 MARKET ST, PASCAGOULA, MS 39567",Closed
Jackson,Big Point,BIG POINT FIRE STATION,"7701 COMMUNITY HOUSE RD, MOSS POINT, MS 39562",Relocated
Jackson,Fontainebleau,FONTAINEBLEAU COMMUNITY HOUSE,"3825 HWY 57, OCEAN SPRINGS, MS 39564",Relocated
Jackson,Nazarene,VICTORY PRAISE & WORSHIP CHURCH,"2305 CHICOT ST, PASCAGOULA, MS 39581",Closed
Jackson,South Vancleave,VANCLEAVE COMMUNITY CENTER,"5125 BALLPARK RD, VANCLEAVE, MS 39565",Relocated
Jasper,Beat 1 Holders-Waldrup 1 Judici,OAK BOWERY,"3048 HWY 528, HEIDELBERG, MS 39439",Closed
Jeff Davis,Bournham 21,PVP,,Closed
Jeff Davis,City of Prentiss,CITY HALL,,Closed
Jeff Davis,Hathorn 24,HATHORN BAPTIST CHURCH,153 Hathorn Rd,Closed
Jeff Davis,MUBASS,CITY HALL BASSFIELD,,Closed
Jeff Davis,Melba 34,HWY 42 BB FIELD,3844 Hwy 42,Closed
Jefferson,Chambliss's Restaurant 5030,CHAMBLISS'S RESTAURANT,"12687 HWY 61, FAYETTE, MS 39069",Closed
Jefferson,Chancery Clerk 3010,CHANCERY CLERK OFFICE,"1483 MAIN STREET, FAYETTE, MS 39069",Closed
Jefferson,Fayette Manor 5020,FAYETTE MANOR APARTMENTS OLD FAYETTE MANOR,"170 FAYETTE MANOR DR, FAYETTE, MS 39069",Closed
Jefferson,Highway 33 2040,GUICE BUILDING,"1015 HWY 33, FAYETTE, MS 39069",Closed
Jefferson,Old Hollywood Church 4030,OLD HOLLYWOOD CHURCH,"77 HOLLYWOOD CHURCH, FAYETTE, MS 39069",Closed
Jefferson,Rose Hill # 1 Church,ROSE HILL # 1 CHURCH,"5730 HWY 33, FAYETTE, MS 39069",Closed
Jefferson,Superintendent Office 2020,SUPERINTENDENT OFFICE,"942 MAIN ST, FAYETTE, MS 39069",Closed
Jones,Cameron Center,CAMERON CENTER,"10TH AVENUE, LAUREL, MS 39440",Closed
Jones,Cooks Ave. Comm. Center,COOK'S AVE. COMM. CENTER,"COOKS AVENE, LAUREL, MS 39440",Closed
Jones,County Barn,COUNTY BARN,"HIGHWAY 29 SOUTH, ELLISVILLE, MS 39437",Closed
Jones,Ellisville Courthouse,ELLISVILLE COURTHOUSE,"101 N COURT STREET, ELLISVILLE, MS 39437",Closed
Jones,Kingston Church,KINGSTON CHURCH,"1419 2ND AVENUE, LAUREL, MS 39440",Closed
Jones,Laurel Courthouse,LAUREL COURTHOUSE,"415 NORTH 5TH AVENUE, LAUREL, MS 39440",Closed
Jones,North Laurel,NORTH LAUREL,"3217 AUDUBON DRIVE, LAUREL, MS 39440",Relocated
Jones,Oak Park School,OAK PARK SCHOOL,"POLK STREET, LAUREL, MS 39440",Relocated
Jones,Old South Jones Elem.,SOUTH JONES,"NORTH DEASON STREET, ELLISVILLE, MS 39437",Closed
Jones,Pendorff,PENDORFF,"HIGHWAY 11 SOUTH, LAUREL, MS 39443",Closed
Jones,Roosevelt,ROOSEVELT,"ROOSEVELT STREET, ELLISVILLE, MS 39437",Closed
Kemper,Farmers Market,HWY 16 EAST,,Relocated
Lafayette,Abbeville,ABBEVILLE TOWN HALL,"8 BUSINESS 7 SOUTH, ABBEVILLE, MS 38601",Relocated
Lafayette,Oxford 1,OLD NATIONAL GUARD ARMORY,"1801 EAST UNIVERSITY AVE, OXFORD, MS 38655",Relocated
Lafayette,Oxford 4,OXFORD MALL,"1111 WEST JACKSON AVE, OXFORD, MS 38655",Relocated
Lamar,Breland,79 JACKSON RD,"COMM CENTER, HATTIESBURG, MS 39402",Relocated
Lamar,South Purvis,HWY 11 S & MLK DR,PURVIS,Relocated
Lauderdale,105 - Five,TRINITY LUTHERAN CHURCH,"4805 HIGHWAY 39 NORTH, MERIDIAN, MS 39301",Relocated
Lauderdale,146 - New Lauderdale,NE COMMUNITY CLUB,"628 BRIARWOOD RD, MERIDIAN, MS 39305",Relocated
Lauderdale,206 - Six,VELMA YOUNG COMMUNITY CENTER,"2400 16TH AVE, MERIDIAN, MS 39301",Relocated
Lauderdale,214 - Fourteen,COURT HOUSE,"500 CONSTITUTION AVE, MERIDIAN, MS 39301",Relocated
Lauderdale,235 - Daleville,SAM DALE FIRE STATION,"11037 HWY 39, DALEVILLE, MS 39326",Relocated
Lauderdale,237 - East Lauderdale,LAUDERDALE COMMUNITY CENTER,"3744 COMMUNITY HOUSE, LAUDERDALE, MS 39335",Relocated
Lauderdale,238 - Marion,LAUDERDALE BAPTIST ASSOC. BUILDING,"5521 CLINTON ST, MARION, MS 39342",Relocated
Lauderdale,254 - Russell,RUSSELL COMMUNITY CENTER,"1722 MARION RUSSELL RD, MERIDIAN, MS 39301",Relocated
Lauderdale,282 - Center Ridge,CENTER RIDGE FIRE STATION,"5146 YORK RD, LAUDERDALE, MS 39335",Closed
Lauderdale,331 - Collinsville,COLLINSVILLE VOLUNTEER FIRE DEPT,"11710 NANCY DR, COLLINSVILLE, MS 39325",Relocated
Lauderdale,366 - West Lauderdale,PINE FOREST BAPTIST CHURCH,"10031 WEST LAUDERDALE, COLLINSVILLE, MS 39325",Closed
Lauderdale,407 - Seven,FRANK COCHRAN CENTER,"1725 CAROUSEL DR, MERIDIAN, MS 39307",Relocated
Lauderdale,409 - Nine,CAROUSEL PLACE-COMMUNITY CTR,"4610 VALLY ST, MERIDIAN, MS 39307",Relocated
Lauderdale,411 - Eleven,HAMASA TEMPLE SHRINE-BALLROOM,"P O BOX 365, MERIDIAN, MS 39302",Relocated
Lauderdale,420 - Twenty,NEW HOPE BAPTIST CHURCH,"2614-13TH STREET, MERIDIAN, MS 39301",Closed
Lauderdale,455 - Sageville,SAGEVILLE COMMUNITY CENTER,"4721 ARUNDEL RD, MERIDIAN, MS 39307",Closed
Lauderdale,518 - Eighteen,TUXEDO COMM CENTER,"701 B STREET, MERIDIAN, MS 39301",Closed
Lauderdale,519 - Nineteen,WILLOW RIDGE APTS,"2701 WILLOW BEND DR, MERIDIAN, MS 39301",Closed
Lauderdale,525 - Alamucha,ALAMUCHA/GREENHILL MISSIONARY BAPTIST CHURCH,"5324 HIGHWAY 496, TOOMSUBA, MS 39364",Closed
Lauderdale,530 - Clarkdale,CLARKDALE FIRE STATION #2,"6934 HWY 145, MERIDIAN, MS 39301",Closed
Lauderdale,533 - Culpepper,CLARKDALE FIRE STATION #1,"5412 HWY 145, MERIDIAN, MS 39301",Closed
Lauderdale,563 - Valley,SOUTH LAUDERDALE FIRE STATION,"4849 VALLEY RD, MERIDIAN, MS 39307",Closed
Lawrence,Armory,NATIONAL GUARD ARMORY,"74 OLD HWY 27 NORTH, MONTICELLO, MS 39654",Relocated
Lawrence,Grange,PETE STEPHENS PLACE,"204 D. E. STEPHENS ROAD, SILVER CREEK, MS 39663",Relocated
Lawrence,New Hebron,NEW HEBRON CITY HALL,"506 MAIN AVENUE, NEW HEBRON, MS 39140",Relocated
Lawrence,North Silver Creek,CITY HALL,"20 SECOND STREET, SILVER CREEK, MS 39663",Closed
Lawrence,Sontag,COMMUNITY CENTER (SONTAG),"11 SMITH FERRY ROAD, SONTAG, MS 39665",Relocated
Leake,Salem,SALEM,"VOTING HOUSE 735 PURVIS RD, WALNUT GROVE, MS 39189",Relocated
Leake,Singleton,SINGLETON,"VOTING HOUSE 182 BARNES RD, CARTHAGE, MS 39051",Relocated
Leake,Sunrise,SUNRISE,"EDINBURG FIRE DEPT 91 ADAMS RD, CARTHAGE, MS 39051",Relocated
Lee,Belden,BELDEN VOLUNTEER FIRE STATION,"4677-A ENDVILLE RD, BELDEN, MS 38826",Relocated
Lee,Bissell,BISSELL BAPTIST CHURCH,"4662 W MAIN ST, TUPELO, MS 38801",Relocated
Lee,Davis Box,DAVIS BOX PRECINCT BUILDING,"245 ROAD 1, TUPELO, MS 38804",Closed
Lee,East Heights,TUPELO CHILDREN MANSION,"1801 E MAIN ST, TUPELO, MS 38804",Closed
Lee,Gilvo,ALLEN'S CHAPEL METHODIST CHURCH,"186 ROAD 1310, TUPELO, MS 38804",Relocated
Lee,Mooreville,MOOREVILLE METHODIST CHURCH,"575 HIGHWAY 371, MOOREVILLE, MS 38857",Relocated
Lee,Nettleton,NETTLETON COMMUNITY CENTER,"120 FINNEY AVE, NETTLETON, MS 38858",Relocated
Lee,Oak Hill,OAK HILL PRECINCT BUILDING,"2255 N VETERANS BLVD, TUPELO, MS 38804",Closed
Lee,Plantersville,PLANTERSVILLE FIRE STATION,"MAIN ST, PLANTERSVILLE, MS 38862",Relocated
Lee,Shannon,SHANNON FIRE DEPT,"1432 NORTH ST, SHANNON, MS 38868",Relocated
Lee,Tupelo 1,ST JAMES CATHOLIC CHURCH,"1909 N GLOSTER ST, TUPELO, MS 38804",Closed
Lee,Tupelo 4 North,OLD LEE COUNTY COURTHOUSE,"BROADWAY STREET, TUPELO, MS 38804",Relocated
Leflore,Precinct 65,PRECINCT 65,,Closed
Lincoln,Alexander Jr High,ALEXANDER,"GRENN ST., BROOKHAVEN, MS 39601",Relocated
Lincoln,Fair River,FAIR RIVER,"BRANCH LANE, BROOKHAVEN, MS 39601",Relocated
Lincoln,Forrestry,FORRESTRY,"OLD HWY 84 EAST, BROOKHAVEN, MS 39601",Relocated
Lincoln,High School,HIGH SCHOOL,"COURT ST, BROOKHAVEN, MS 39601",Relocated
Lincoln,Little Bahala,LITTLE BAHALA,"FURRS MILL RD, WESSON, MS 39191",Relocated
Lincoln,New Sight,NEW SIGHT,"NEW SIGHT DR, BROOKHAVEN, MS 39601",Relocated
