county_name,precinct_name,name,address,status
Lincoln,Northwest Brookhaven,NORTHWEST BROOKHAVEN,,Closed
Lowndes,Caledonia,CALEDONIA COMMUNITY CENTER,"754 MAIN STREET, CALEDONIA, MS 39740",Relocated
Lowndes,Columbus High School,CHS SUSPENSION RM,"215 HEMLOCK, COLUMBUS, MS 39702",Closed
Lowndes,Hunt,HUNT SCHOOL CAFETORIUM,"920 20TH ST N, COLUMBUS, MS 39701",Relocated
Lowndes,Immanuel School,IMMANUEL CTR CHRISTIAN EDU,"5405 MILITARY RD, STEENS, MS 39766",Relocated
Lowndes,National Guard Armory,NATIONAL GUARD ARMORY,"111 FABRITEK DRIVE, COLUMBUS, MS 39702",Closed
Lowndes,Propst Park Community Hut,PROPST PARK COMMUNITY HUT,"2535 MAIN ST, COLUMBUS, MS 39701",Closed
Lowndes,Sale,SALE SCHOOL CAFETORIUM,"520 WARPATH RD, COLUMBUS, MS 39702",Closed
Lowndes,Union Academy,UNION ACADEMY CAFETORIUM,"1425 10TH AV N, COLUMBUS, MS 39701",Closed
Lowndes,University,CARRIER LODGE,"802 1ST ST S, COLUMBUS, MS 39701",Relocated
Lowndes,West Lowndes,WEST LOWNDES HIGH COMPUTER RM,"664 S FRONTAGE RD, COLUMBUS, MS 39701",Relocated
Madison,Bear Creek,BEAR CREEK PCT-B,"FELLOWSHIP BAPTIST CHURCH 2270 HIGHWAY 51, CANTON, MS 39046",Closed
Madison,FBC Madison Campus,FIRST BAPTIST CHURCH OF JACKSON,"P O BOX 973, CANTON, MS 39046",Closed
Madison,Madison Community Center,MADISON COMMUNITY CENTER,,Closed
Madison,Madison Methodist,MADISON UNITED METHODIST CHURCH,"2050 MAIN ST, MADISON, MS 39110",Closed
Madison,Magnolia Heights,KEARNEY PARK FIRE STATION,"KEARNEY PARK FIRE STATION 443 LIVINGSTON VERNON RD, FLORA, MS 39071",Closed
Madison,Pleasant Gift Baptist,PLEASANT GIFT BAPTIST CHURCH,"2055 PLEASANT GIFT RD, CANTON, MS 39046",Relocated
Madison,Ridgeland Precinct 4,THE MARK APTS. CLUBHOUSE,"THE MARK APARTMENTS CLUBHOUSE 711 LAKE HARBOR, RIDGELAND, MS 39157",Closed
Madison,Whisper Lake,SOUTHERN FARM BUREAU CLASSIC OFFICE,,Closed
Marion,Foxworth,FOXWORTH,"WEST MARION HIGH SCHOOL 2 WEST MARION STREET, FOXWORTH, MS 39483",Relocated
Marion,Union,UNION,"EAST COLUMBIA COMMUNITY CENTER 1580 LAMPTON HILLTOP ROAD, COLUMBIA, MS 39429",Relocated
Marshall,1 Red Banks,RED BANKS FIRE STATION,"1348 S RED BANKS RD, RED BANKS, MS 38661",Relocated
Marshall,2 North Cayce,VOTE BLDG/AMERICAN MOTEL HWY 72,"40 JONATHAN DR, BYHALIA, MS 38611",Relocated
Marshall,3 Byhalia,BYHALIA FIRE STATION #1,"24 HWY 309 N, BYHALIA, MS 38611",Relocated
Marshall,4 Marianna,MARIANNA VOTING BUILDING,"4789 MARIANNA RD, HOLLY SPRINGS, MS 38635",Relocated
Monroe,3 Aberdeen Third 3f1,3 ABERDEEN THIRD,"MONROE COUNTY UNIT BUILDING 101 HWY 8 W, ABERDEEN, MS 39730",Relocated
Monroe,4 Darracott 4f3,4 DARRACOTT,"DARRACOTT COMMUNITY CENTER 10446 DARRACOTT RD, ABERDEEN, MS 39730",Relocated
Montgomer,yAlva,COUNTY BUILDING - ALVA,,Closed
Montgomer,yWEST WINONA,WW1 - OLD NATIONAL GUARD ARMORY,,Relocated
Neshoba,Burnside,BURNSIDE LAKE AUDITORIUM,"10100 ROAD 2812, PHILA, MS 39350",Relocated
Neshoba,Southeast Philadelphia,BAPTIST CENTER,"903 VALLEY DRIVE, PHILA, MS 39350",Relocated
Neshoba,Tucker - District One,TUCKER FACILITY BUILDING,"127 A TUCKER FACILITY RD, PHILA, MS 39350",Relocated
Newton,Chapel Hill,CHAPEL HILL COMMUNITY HOUSE,"1567 CHAPEL HILL RD, DECATUR, MS 39327",Closed
Newton,Hazel,GIBBSTOWN FIRE DEPT.,"5776 LAWRENCE HAZEL RD, LAWRENCE, MS 39336",Closed
Newton,Liberty,LIBERTY COMMUNITY HOUSE,"1336 LIBERTY CHURCH RD, NEWTON, MS 39345",Closed
Newton,Newton #1,PILATE SCHOOL,"521 E CHURCH STREET, NEWTON, MS 39345",Relocated
Newton,Newton #5,NEWTON HIGH SCHOOL BAND HALL,"205 SCHOOL STREET, NEWTON, MS 39345",Relocated
Newton,Scanlan,SCANLAN COMMUNITY HOUSE,"77 SCANLAN RD, DECATUR, MS 39327",Closed
Newton,Union #1,UNION NATIONAL GUARD ARMORY,"111 OLD DECATUR RD, UNION, MS 39365",Relocated
Noxubee,Savannah,SAVANNAH,,Closed
Noxubee,Vo-Tech,VO-TECH,,Closed
Oktibbeha,Center Grove/North Adaton,ADATON FIRE STATION,"2237 REED RD, STARKVILLE, MS 39759",Closed
Oktibbeha,East Starkville,HUMPHREY COLISEUM DIST 3 EAST,"55 COLISEUM BLVD, MS STATE, MS 39762",Relocated
Oktibbeha,Gillespie,GILLESPIE ST. COMMUNITY CENTER,"610 E GILLESPIE, STARKVILLE, MS 39759",Closed
Oktibbeha,Hickory Grove/Southeast,EAST OKT FIRE STATION,"OLD HWY 182 E, STARKVILLE, MS 39762",Relocated
Oktibbeha,North Starkville District 2,BOARDTOWN VILLAGE,"905 N MONTGOMERY STREET, STARKVILLE, MS 39759",Relocated
Oktibbeha,North Starkville District 3,FIRE STATION #3 NORTH JACKSON ST,"102 W GARRARD RD, STARKVILLE, MS 39759",Relocated
Oktibbeha,Northeast Starkville,HUMPHREY COLISEUM DIST 2 NORTH,"55 COLISEUM BLVD, MS STATE, MS 39762",Closed
Oktibbeha,Self Creek/Double Springs,FIRESTATION TURNER RD,"3407 HWY 82 W, MABEN, MS 39750",Relocated
Oktibbeha,Sessums,SESSUMS FIRE STATION,"3100 TURKEY CREEK RD, STARKVILLE, MS 39759",Relocated
Oktibbeha,South Longview,LONGVIEW FIRE STATION DIST 4 SOUTH,"2168 HWY 12 W, STARKVILLE, MS 39759",Closed
Panola,Cole'S Point,COLE'S POINT FIRE DEPT.,"1270 SARDIS LAKE DR, BATESVILLE, MS 38606",Closed
Panola,Courtland,COURTLAND FIRE STATION,"536 MAIN ST, COURTLAND, MS 38620",Closed
Panola,East Batesville,BATESVILLE COURTHOUSE,"151 PUBLIC SQUARE, BATESVILLE, MS 38606",Closed
Panola,East Sardis,SARDIS CITY HALL,"114 W. LEE ST, SARDIS, MS 38666",Closed
Panola,North Batesville # A,BATESVILLE CITY HALL,"103 COLLEGE ST, BATESVILLE, MS 38606",Closed
Pearl River,Anchor Lake/West Union Beat 5,HILLCREST BAPT CHURCH 438 ANCHOR LAKE RD,,Closed
Pearl River,Buck Branch Beat 2,VFD-6868 HWY 43N,,Closed
Pearl River,Byrdline Beat 2,VFD-227 OTIS JONES RD,,Closed
Pearl River,Carriere Beat 5,CARRIERE VFD #1-7414 HWY 11,,Relocated
Pearl River,Ceasar Beat 3,CONCESSION STAND-705 BOUIE RD,,Relocated
Pearl River,Ford'S Creek Beat 2,VFD- 9655 HWY 43 N,,Closed
Pearl River,Gumpond Beat 3,VFD-462 HILLSDALE GUMPOND,,Relocated
Pearl River,Hickory Grove Beat 3,VFD-2700 HWY 13,,Closed
Pearl River,Hide-A-Way/North Hill Bt. 5,SKATE STATION-6 FRED MALLETT RD,,Closed
Pearl River,Mill Creek Beat 2,12 HERB LEE-FRED SPIERS RD,,Relocated
Pearl River,Nicholson Beat 4,VFD-1981 HWY 11S,,Closed
Pearl River,Oak Hill Beat 2,408 OAK HILL ROAD,,Closed
Pearl River,Ozona Beat 3,CHURCH OF THE WAY-6509 HIGHWAY 11,"6509 HIGHWAY 11-CHURCH OF THE WAY, CARRIERE, MS 39426",Closed
Pearl River,Picayune Beat 1 Southside,C C H YOUTH CTR 120 STREET A STE B,,Relocated
Pearl River,Picayune Beat 2,CHIMNEY SQUARE-917 GOODYEAR BLVD,,Relocated
Pearl River,Picayune Beat 4 East,VFD-1981 HWY 11S,,Relocated
Pearl River,Picayune Beat 4 West,PIC CONCESSION STAND-611 UNION SCH RD,,Closed
Pearl River,Picayune Beat 5,PIC FIRE STATION 1-2233 ADCOX RD,,Closed
Pearl River,Poplarville Beat 1,OLD NATL GUARD ARMORY-810 HWY 11S,,Closed
Pearl River,Poplarville Beat 2,CO. BLDG. 417 HWY 11N,,Relocated
Pearl River,Poplarville Beat 3,MIDDLE SCHOOL-51 SCHOOL BUS CIR,,Relocated
Pearl River,Savannah Beat 3,VFD #2-4277 HWY 53,,Closed
Pearl River,Whitesand Beat 2,MSU EXPERIMENTAL STATION-2604 HWY 26W,,Closed
Perry,Richton City Hall 3070,RICHTON CITY HALL,"208 FRONT STREET SOUTH, RICHTON, MS 39476",Closed
Pike,(01) Progress Library,(01) PROGRESS LIBRARY,"5071 MT HERMAN RD, MCCOMB, MS 39648",Closed
Pike,(02)Leggett Community,(02)LEGGETT COMMUNITY,"2036 OLD 24 EXT, MAGNOLIA, MS 39652",Closed
Pike,(03) Pike Baptist Assoc. Bldg.,(03)PIKE BAPTIST ASSOC. BLDG.,"1108 WEAVER RD., MCCOMB, MS 39648",Closed
Pike,(04) Mepa Bldg. Hwy 98 East,(04)MEPA BLDG. HWY 98 EAST,"3012 HWY 98 E, MCCOMB, MS 39648",Closed
Pike,(05) Pleasant Grove Bapt Church,(05)PLEASANT GROVE BAPT CH E. MCCOMB,"800 PEARL RIVER AVE, MCCOMB, MS 39648",Closed
Pike,(06) Jewel Rushing Community C,t(r06)JEWEL RUSHING COMMUNITY CTR,"913 SEDGEWICK ST, MCCOMB, MS 39648",Closed
Pike,(07) S. Pike Comm. Ctr.,(07)S. PIKE COMM. CTR.,"1210 26TH ST, MCCOMB, MS 39648",Closed
Pike,(08) Alpha Center,(08)ALPHA CENTER,"414 MCCOMB ST, MCCOMB, MS 39648",Closed
Pike,(09) Fernwood School,(09)FERNWOOD SCHOOL,"1093 OAK AVE, FERNWOOD, MS 39635",Closed
Pike,(10) Magnolia Comm Ctr.,(10)MAGNOLIA COMM CTR.,"235 S CHERRY ST, MAGNOLIA, MS 39652",Closed
Pike,(11) Courthouse,(11)COURTHOUSE,"200 E BAY ST, MAGNOLIA, MS 39652",Closed
Pike,(12) Courthouse,(12)COURTHOUSE,"200 E BAY ST, MAGNOLIA, MS 39652",Closed
Pike,(14) Calvary Baptist Church,(14)CALVARY BAPTIST CHURCH,"1009 PRICEDALE DR, SUMMIT, MS 39666",Closed
Pike,(15) Old Jones School,(15)OLD JONES SCHOOL,"1041 FRIENDSHIP CIR, MCCOMB, MS 39648",Closed
Pike,(17)Entergy,(17)ENTERGY,"300 N BROADWAY, MCCOMB, MS 39648",Closed
Pike,(18) Summit Learn. Ctr,(18)SUMMIT LEARN. CTR,"1201 BALDWIN ST, SUMMIT, MS 39666",Closed
Pike,(23) Legacy Motors,(23)LEGACY MOTORS,"2102 VETERANS BLVD, MCCOMB, MS 39648",Closed
Pike,(26) American Leg. Hut,(26)AMERICAN LEG. HUT,"403 LAKESHORE DR, MCCOMB, MS 39648",Closed
Pike,(27)Storehouse Church,(27)STOREHOUSE CHURCH,"529 MINNESOTA AVE, MCCOMB, MS 39648",Closed
Pontotoc,Pontotoc 1 P1,PRECINCT P1,"SUNSHINE REST HOME 1677 HWY 9 NORTH, PONTOTOC, MS 38863",Relocated
Pontotoc,Pontotoc 3 P3,PRECINCT P3,"PONTOTOC COUNTY EXHIBITS BUILDING 309 CENTER RIDGE DRIVE, PONTOTOC, MS 38863",Relocated
Pontotoc,Sherman Sh,PRECINCT SH,"SHERMAN MAYORS OFFICE 26 WEST LAMAR STREET, SHERMAN, MS 38869",Relocated
Pontotoc,South Randolph Sr,PRECINCT SR,"RANDOLPH COMMUNITY CENTER 758 RANDOLPH LOOP, RANDOLPH, MS 38864",Closed
Pontotoc,Zion Z,PRECINCT Z,"ZION POLLING PLACE 5920 HWY 342, PONTOTOC, MS 38863",Closed
Prentiss,Baldwyn,POWER COMPANY AT BALDWYN,"101 EAST CLAYTON ST., BALDWYN, MS 38824",Relocated
Prentiss,East Booneville,PRENTISS BAPTIST ASSOCIATION BUILDING,"400 MARIETTA ST., BOONEVILLE, MS 38829",Relocated
Prentiss,Hills Chapel- New Hope,HILLS CHAPEL SCHOOL,"8 CR 2371, BOONEVILLE, MS 38829",Relocated
Prentiss,New Site,NEW SITE SCHOOL,"1020 HIGHWAY 4 EAST, NEW SITE, MS 38859",Relocated
Prentiss,Wheeler,WHEELER HIGH SCHOOL,"318 CR 5011, BOONEVILLE, MS 38829",Relocated
Quitman,Belen,QUITMAN CO. SCHOOL BUS SHOP,"1030 HIGHWAY 6 WEST, MARKS, MS 38646",Closed
Quitman,North West Marks,QUITMAN CO. SCHOOL BUS SHOP,"1030 HIGHWAY 6 WEST, MARKS, MS 38646",Relocated
Rankin,Antioch,COMMUNITY CENTER,"2356 HWY. 43 SOUTH, PELAHATCHIE, MS 39145",Closed
Rankin,Castlewoods East,CASTLEWOODS CLUBHOUSE,"399 CASTLEWOODS BLVD, BRANDON, MS 39047",Relocated
Rankin,Castlewoods West,VINEYARD CHURCH OF JACKSON,"5416 LAKELAND DR., FLOWOOD, MS 39232",Relocated
Rankin,Cleary,CLEARY FIRE DEPARTMENT,"125 MELROSE CIRCLE, FLORENCE, MS 39073",Relocated
Rankin,Crest Park,PAUL TRUITT BAPTIST CHURCH,"3705 OLD BRANDON RD., PEARL, MS 39208",Closed
Rankin,East Brandon,1ST BAPTIST CHURCH FAMILY LIFE CENTER,"309 S. COLLEGE ST., BRANDON, MS 39042",Closed
Rankin,Fannin,FANNIN UNITED METHODIST CH.,"2851 HWY. 471, BRANDON, MS 39047",Closed
Rankin,Flowood,FLOWOOD CITY HALL,"2101 AIRPORT RD., FLOWOOD, MS 39232",Closed
Rankin,Mayton,UNION BAPTIST CHURCH,"1541 HWY. 13 NORTH, BRANDON, MS 39042",Closed
Rankin,Mullins,HIGH'S WOOD HEATERS,"105 BLUEBIRD LANE, BRANDON, MS 39042",Closed
Rankin,North Brandon,BRANDON BAPTIST CHURCH,"100 BRANDON BAPTIST DR, BRANDON, MS 39042",Relocated
Rankin,Patton Place,ECONO TAX,"2731 OLD BRANDON RD., PEARL, MS 39208",Closed
Rankin,Pearl,PEARL METHODIST CHURCH,"226 S. PEARSON ROAD, PEARL, MS 39208",Closed
Rankin,Puckett,NEW PUCKETT CITY HALL,"6449 HWY. 18, BRANDON, MS 39042",Relocated
Rankin,Reservoir West,RIVER OF LIFE ASSEMBLY OF GOD,"101 PARKWAY RD, BRANDON, MS 39047",Relocated
Rankin,South Crossgates,CROSSGATES FIRE DEPARTMENT,"16 WOODGATE DR., BRANDON, MS 39042",Closed
Rankin,Springhill,SKYWAY HILLS CHURCH OF CHRIST,"3800 HWY. 80 E., PEARL, MS 39208",Closed
Rankin,West Brandon,NATIONAL GUARD ARMORY,"300 HWY. 468, BRANDON, MS 39042",Closed
Scott,Beat 3/Cooperville,BEAT 3/COOPERVILLE,"HOMESTEAD BAPTIST CHURCH - 29 COOPERVILLE RD, MORTON, MS 39117",Closed
Scott,Beat 3/Springfield,BEAT 3/SPRINGFIELD,"SPRINGFIELD BAPTIST CHURCH -3285 SPRINGFIELD RD, MORTON, MS 39117",Closed
Sharkey,Cary Second District,CARY CITY HALL,,Relocated
Sharkey,Rolling Fork Fourth District,WIN JOB CENTER,,Relocated
Simpson,Magee 4 South,MAGEE COMMUNITY HOUSE,"115 FIRST AVE NE, MAGEE, MS 39111",Relocated
Simpson,Sumrall,KENNEDY SPRINGS CHURCH,"2295 HWY 540, MENDENHALL, MS 39114",Relocated
Stone,Big Level,BIG LEVEL,"BIG LEVEL FIRE STATION 1414 KING BEE RD, PERKINSTON, MS 39573",Relocated
Stone,Magnolia,MAGNOLIA,"MAGNOLIA FIRE STATION 350 MAGNOLIA RD, PERKINSTON, MS 39573",Relocated
Stone,Old Hospital,OLD HOSPITAL NORTH,"COUNTY OFFICE BLDG 214 NORTH CRITZ ST, WIGGINS, MS 39577",Closed
Stone,Project Road,PROJECT ROAD,"PROJECT ROAD VOTING BLDG 922 PROJECT RD, WIGGINS, MS 39577",Closed
Sunflower,12-Moorhead,STAUFFER-WOOD ADM. BLDG.,"538 MOORHEAD BELZONI RD, MOORHEAD, MS 38761",Relocated
Sunflower,34-Sunflower 3,LIVE STOCK BARN,"GRIFFIN ST, SUNFLOWER, MS 38778",Closed
Sunflower,41-Fairview-Hale,FAIRVIEW BAPTIST CHURCH,"536 FAIRVIEW RD, INDIANOLA, MS 38751",Relocated
Sunflower,43-Doddsville,HEALTH DEPARTMENT,"442/HWY 49 W, DODDSVILLE, MS 38736",Relocated
Sunflower,51-Ruleville North,RULEVILLE HEALTH DEPT.,"628 ELISHA EVERETTE LANGDON, RULEVILLE, MS 38771",Relocated
Tallahatchi,eBrazil,BRAZIL VOTING HOUSE,"1282 MS HWY 321, TUTWILER, MS 38963",Relocated
Tallahatchi,eCharleston Beat #1,MIDDLE SCHOOL BAND HALL,"17 OAKGROVE ROAD, CHARLESTON, MS 38921",Relocated
Tallahatchi,eSumner Beat #5,WEST TALLAHATCHIE SCHOOL DISTRICT OFFICE,"11 WORLEY DRIVE, SUMNER, MS 38957",Relocated
Tallahatchi,eTeasdale,TEASDALE COMMUNITY HOUSE,"1833 TEASDALE ROAD, ENID, MS 38927",Relocated
Tate,Coldwater 3,COLDWATER ELEMENTARY SCHOOL,"340 PEYTON ROAD, COLDWATER, MS 38618",Relocated
Tate,Evansville,#2 FIRE DEPARTMENT - COTTONVILLE,"13247 ARKABUTLA ROAD, COLDWATER, MS 38618",Relocated
Tate,Poagville 5,POAGVILLE COMMUNITY CENTER,"7791 PEYTON ROAD, COLDWATER, MS 38618",Relocated
Tate,Strayhorn,STRAYHORN SCHOOL,"3402 HIGHWAY 4 WEST, SARAH, MS 38665",Relocated
Tate,Wyatte,WYATTE FIRE DEPARTMENT,"30165 HIGHWAY 4 EAST, SENATOBIA, MS 38668",Relocated
Tippah,Blue Mountain,BLUE MOUNTAIN FIRE STATION,"32 W MAIN ST, BLUE MOUNTAIN, MS 38610",Relocated
Tippah,Chapman,CHAPMAN TCDC BUILDING,"440 CR 538, RIPLEY, MS 38663",Relocated
Tippah,Cotton Plant,RODGERS' SHOP,"10 HIGHWAY 15, NEW ALBANY, MS 38652",Relocated
Tippah,North Ripley,GOOD SAMARITAN CENTER,"160 BAILS RD, RIPLEY, MS 38663",Relocated
Tippah,Palmer,PALMER TCDC BUILDING,"351 CR 817, RIPLEY, MS 38663",Relocated
Tippah,Pine Grove,PINE GROVE SCHOOL AUDITORIUM,"3510-A CR 600, RIPLEY, MS 38663",Relocated
Tishomingo,Belmont,BELMONT @ BELMONT CITY HALL,"390 2ND ST, BELMONT, MS 38852",Closed
Tishomingo,Dennis,DENNIS @ HOMEMAKER'S BLDG,"1 CR 46, DENNIS, MS 38838",Relocated
Tishomingo,Hubbard Salem,HUBBARD SALEM @ FIRE DEPT,"23 CR 402, IUKA, MS 38852",Relocated
Tishomingo,Iuka,IUKA @ IUKA CITY HALL,"118 S PEARL ST, IUKA, MS 38852",Closed
Tishomingo,North Iuka,NORTH IUKA @ TCEPA METERING DEPT (OLD CHEVROLET PLACE,") 104 CONSTITUTION DRIVE, IUKA, MS 38852",Closed
Tishomingo,Tishomingo,TISHOMINGO @ BANK BLDG,"1284 MAIN ST, TISHOMINGO, MS 38873",Relocated
Tishomingo,West Burnsville,WEST BURNSVILLE @ BURNSVILLE VOLUNTEER FIRE DEPARTME,"N9T0 FRONT ST, BURNSVILLE, MS 38833",Closed
Tishomingo,West Iuka,WEST IUKA @ TISH CO COURTHOUSE,"1008 BATTLEGROUND DR, IUKA, MS 38852",Closed
Tishomingo,West Tishomingo,WEST TISHOMINGO @ CITY HALL,"1281 MAIN ST, TISHOMINGO, MS 38852",Closed
Tunica,Banks/Hambrick,VTR. BLDG. AT SHOPING CTR,,Relocated
Tunica,Courthouse,COURTHOUSE,,Closed
Tunica,Evansville-Highway 61,TUNICA CO. ECONOMIC BLDG.,,Closed
Tunica,Justice Court Building,JUSTICE COURT BUILDING,,Closed
Tunica,Prichard,VOTER'S BUILDING,,Relocated
Tunica,Robinsonville,FIRE STATION,,Relocated
Tunica,Supt. Of Education,SCHOOL BUS BARN,,Relocated
Tunica,Watsonville,G.W. HENDERSON REC. CNTR.,,Closed
Tunica,West End Store,VTR. BLDG. AUSTIN PARK,,Relocated
Union,East Union,EAST UNION SCHOOL,"1554 ST HIGHWAY 9 SOUTH, BLUE SPRINGS, MS 38828",Closed
Union,Ingomar,INGOMAR SCHOOL,"1384 CR 101, NEW ALBANY, MS 38652",Relocated
Union,Myrtle,MYRTLE SCHOOL,"1008 HAWK AVENUE, MYRTLE, MS 38650",Relocated
Union,NE Community College,NE COMMUNITY COLLEGE,"301 NORTH STREET, NEW ALBANY, MS 38652",Closed
Walthall,East Tylertown,ELEMENTARY SCHOOL GYM,"608 BROAD STREET, TYLERTOWN, MS 39667",Relocated
Walthall,Enon,OLD ENON STORE,"1440 HIGHWAY 583 NORTH, TYLERTOWN, MS 39667",Relocated
Walthall,Hope,BESIDE HOPE HEAD START,"376 NEW HOME CHURCH ROAD, TYLERTOWN, MS 39667",Relocated
Walthall,Lexie,PEACH BLOCK BUILDING ACROSS FROM LEXIE CHURCH,"313 HIGHWAY 27 SOUT, TYLERTOWN, MS 39667",Relocated
Walthall,Midway,458 STALLINGS BRIDGE ROAD,"458 STALLINGS BRIDGE ROAD, TYLERTOWN, MS 39667",Relocated
Walthall,St Paul,ST PAUL,"225 ST. PAUL ROAD, TYLERTOWN, MS 39667",Relocated
Warren,Culkin,CULKIN,"SHERMAN AVE SCHOOL 2147 SHERMAN AVENUE, VICKSBURG, MS 39183",Relocated
Warren,Goodrum,GOODRUM,"GOODRUM BAPTIST CHURCH 4569 FISHER FERRY ROAD, VICKSBURG, MS 39180",Relocated
Warren,Moose Lodge,MOOSE LODGE,"BERACHAH BAPTIST CHURCH 2918 FISHER FERRY ROAD, VICKSBURG, MS 39180",Relocated
Warren,No.7 Fire Station,NO.7 FIRE STATION,"TRAVELERS REST BAPTIST CHURCH 718 BOWMAR AVE, VICKSBURG, MS 39190",Closed
Warren,Oak Ridge,OAK RIDGE,"OAK RIDGE GROCERY 10645 OAK RIDGE ROAD, VICKSBURG, MS 39183",Closed
Warren,Redwood,REDWOOD,"REDWOOD ELEM SCHOOL 100 REDWOOD ROAD, REDWOOD, MS 39156",Relocated
Warren,Vicksburg Junior High School,VICKSBURG JUNIOR HIGH SCHOOL,"JUNIOR HIGH SCHOOL 1630 BALDWIN FERRY ROAD, VICKSBURG, MS 39180",Closed
Washington,Greenville Daycare Center,GREENVILLE DAYCARE CENTER,"747 CANAL ST., GREENVILLE, MS 38701",Closed
Washington,Greenville Industrial College,GREENVILLE INDUSTRIAL COLLEGE,"140 S. EIGHT ST., GREENVILLE, MS 38701",Closed
Wayne,Chapparal,PRECINCT HOUSE,"1435 PLEASANT GROVE CHAPPARAL RD, WAYNESBORO, MS 39367",Closed
Wayne,Coyt,VOLUNTEER FIRE DEPT. BLDG,"656 COYT RD, WAYNESBORO, MS 39367",Closed
Wayne,Diamond,PRECINCT HOUSE,"998 MATHERVILLE DIAMOND RD, WAYNESBORO, MS 39367",Closed
Wayne,Waynesboro City 1,WAYNESBORO JUNIOR HIGH SCHOOL BLDG.,"155 WAYNE ST, WAYNESBORO, MS 39367",Relocated
Wayne,Waynesboro City 2,WAYNESBORO ELEMENTARY SCHOOL BLDG,"1022 AZALEA DR, WAYNESBORO, MS 39367",Relocated
Webster,Clarkson,CLARKSON FIRE DEPT.,"27 FIRE HOUSE RD, MATHISTON, MS 39752",Relocated
Webster,Grady,NEW EBENEZER CHURCH,"3036 GRADY RD, EUPORA, MS 39744",Relocated
Webster,Maben,MABEN AG. BUILDING,"73 HOLLAND ST, MABEN, MS 39750",Relocated
Webster,Walthall,WEB. CO. COURTHOUSE,"515 CARROLL ST, WALTHALL, MS 39771",Relocated
Wilkinson,Centreville 3rd 3010,OLD USO BUILDING CENTREVILE POLICE STATION,"216 JOSEPH STREET, CENTREVILLE, MS 39631",Relocated
Wilkinson,Fort Adams 2020,FORT ADAMS VOTING PLACE,,Relocated
Winston,American Legion,UNITED STEEL WORKERS BLDG,"411 EAST JOHN C. STENNIS DR., LOUISVILLE, MS 39339",Relocated
Winston,East Winston,EAST WINSTON FIRE DEPT,"10390 HIGHWAY 14 EAST, LOUISVILLE, MS 39339",Relocated
Winston,Mill Creek,COUNTY BARN 3,"5660 BROOKSVILLE, LOUISVILLE, MS 39339",Relocated
Winston,Nanih Waiya,NANIH WAIYA FIRE DEPT,"13866 HIGHWAY 397, LOUISVILLE, MS 39339",Relocated
Winston,New National Guard,NEW NATIONAL GUARD,"2310 HIGHWAY 15 SOUTH, LOUISVILLE, MS 39339",Relocated
Yalobusha,Five Scobey,SCOBEY COMMUNITY CENTER,,Relocated
Yalobusha,Four Oakland,OAKLAND TOWN HALL,,Relocated
Yazoo,Dover,NEW BLDG. ACROSS FROM PARADISE,,Closed
Yazoo,Harttown,8882 WILDWOOD RD.,,Closed
Yazoo,Robinette,LITTLE YAZOO SPORT CENTER,,Closed
Yazoo,West Midway,MIDWAY CO ROAD BARN,,Closed
Yazoo,Zion,COUNTY ROAD BARN,,Relocated